Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Hours,Minutes,Seconds,Overall Seconds,Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Likes Per 10000 Views,Total No of Comments,Comment Per 10K Views,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness of the Thumbnail (Rating of 1 to 10),Trustworthiness of the Video (Rating of 1 to 10),Does the Video Require Subject Matter Expertise from an Expert ?,Is the Content Creator SME of the topic ?,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
"
Aakash Gupta",https://www.youtube.com/watch?v=PTIaBLtp4R8,Dogs,0:07:41,0,7,41,461,Hindi,Entertainment,26769022,1300000,486,18058,7,3390000,10/27/2019,9/13/2016,Entertainment,Delhi,273541629,10,10,Yes,Yes,Trustable,roshan kumar sinha
"
Abhijit Chavda",https://www.youtube.com/watch?v=GVlamZ-Qkic,Ukraine: Will Putin Go Nuclear? WW3?,0:05:58,0,5,58,358,English,Entertainment,26660,1600,600,140,53,451000,10/11/2022,12/30/2019,Lifestyle,Gujarat,38467836,6,6,Yes,Yes,Trustable,roshan kumar sinha
"
All India Bakchod",https://www.youtube.com/watch?v=oPp4htuqDOs,AIB : Honest Engineering Campus Placements,0:11:06,0,11,6,666,Hindi,Entertainment,14868611,356000,239,6545,4,3990000,6/19/2017,1/30/2012,Entertainment,Maharashtra,603987498,8,9,No,Not Required,Trustable,roshan kumar sinha
"
Ankit Bhatia",https://www.youtube.com/watch?v=VyLC6hRIXxU,How winter Feels like in Himachal?,0:01:04,0,1,4,64,Hindi,Lifestyle,64740,7000,1081,399,62,811000,10/1/2017,8/16/2013,Vlog,Maharashtra,63906267,9,10,Yes,Yes,Trustable,Ameya Nerkar
"
Ankit Bhatia",https://www.youtube.com/watch?v=4CzgM9PNvew,WHO AM I ? What do I do? My Education ? How much I Earn ? Ankit Bhatia,0:17:36,0,17,36,"1,056",Hindi,Lifestyle,380567,18000,473,899,24,811000,12/5/2018,8/16/2013,Vlog,Maharashtra,63906267,9,10,Yes,Yes,Trustable,Ameya Nerkar
"
Ankit Bhatia",https://www.youtube.com/watch?v=fCAEz66lDc4,How I color grade to create moody videos,0:20:00,0,20,0,"1,200",Hindi,Lifestyle,179676,8100,451,384,21,811000,7/1/2021,8/16/2013,Vlog,Maharashtra,63906267,9,10,Yes,Yes,Trustable,Ameya Nerkar
"
Ankit Bhatia",https://www.youtube.com/watch?v=X86JUbrXsg8,7 CINEMATIC CAMERA GIMBAL shots | DJI RS3,0:07:52,0,7,52,472,Hindi,Lifestyle,641671,20000,312,477,7,811000,7/25/2022,8/16/2013,Vlog,Maharashtra,63906267,9,10,Yes,Yes,Trustable,Ameya Nerkar
"
Ankit Bhatia",https://www.youtube.com/watch?v=iRFiwsBjVTs,NANEMACHI Waterfall - The best Monsoon Trek in Maharashtra | Varandha Ghat | @JeevanKadamVlogs,0:23:55,0,23,55,"1,435",Hindi,Lifestyle,213895,12000,561,894,42,811000,8/12/2022,8/16/2013,Vlog,Maharashtra,63906267,9,10,Yes,Yes,Trustable,Ameya Nerkar
"
Anuj Bucket",https://www.youtube.com/watch?v=Spy6L_9dcKE,"Top 25 places to visit in Ladakh | Timings, tickets and complete travel guide of Ladakh",0:33:25,0,33,25,"2,005",Hindi,Educational,343543,5600,163,458,13,125000,6/7/2022,9/21/2015,Vlog,Delhi,22463944,9,10,No,Not Required,Trustable,roshan kumar sinha
"
Be YouNick",https://www.youtube.com/watch?v=pAGHYnoKyY8,BYN : The Mass Cheating,0:11:13,0,11,13,673,Hindi,Entertainment,14943362,542000,363,8256,6,4550000,7/12/2019,8/26/2014,Entertainment,Maharashtra,843555681,9,10,Yes,Yes,Trustable,roshan kumar sinha
